"","city","n","country","county","lat","long"
"494","Scodand",1,"United Kingdom","Lincolnshire",NA,NA
"495","Scopwick",1,"United Kingdom","Lincolnshire",53.1090921,-0.4041522
"496","Scroop",1,"United Kingdom","Lincolnshire",52.9943722,-0.5869555
"497","Scyrtes of Glentham",1,"United Kingdom","Lincolnshire",NA,NA
"498","Shelford",1,"United Kingdom","Lincolnshire",NA,NA
"499","Skellingthorpe",1,"United Kingdom","Lincolnshire",53.2377485,-0.614846567673043
"500","Skendleby",1,"United Kingdom","Lincolnshire",53.2042114,0.1454886
"501","Sleaford Castle",1,"United Kingdom","Lincolnshire",NA,NA
"502","Snarford",1,"United Kingdom","Lincolnshire",53.3267957,-0.4221105
"503","Somerby [near Bridgend] by Caistor",1,"United Kingdom","Lincolnshire",NA,NA
"504","South Hykeham",1,"United Kingdom","Lincolnshire",53.1696615,-0.5985305
"505","South Kyme",1,"United Kingdom","Lincolnshire",53.0315636,-0.2513272
"506","Southorpe",1,"United Kingdom","Lincolnshire",53.4468566,-0.6678174
"507","St",1,"United Kingdom","Lincolnshire",52.7210995,-0.5221826
"508","St Augustine",1,"United Kingdom","Lincolnshire",NA,NA
"509","St Benedict",1,"United Kingdom","Lincolnshire",NA,NA
"510","St John’s, Newport, Lincoln",1,"United Kingdom","Lincolnshire",NA,NA
"511","St John’s, Stamford",1,"United Kingdom","Lincolnshire",NA,NA
"512","St Lawrence’s parish",1,"United Kingdom","Lincolnshire",NA,NA
"513","St Lawrence’s parish, Lincoln",1,"United Kingdom","Lincolnshire",NA,NA
"514","St Mary’s parish, Wigford, Lincoln",1,"United Kingdom","Lincolnshire",NA,NA
"515","St Peter",1,"United Kingdom","Lincolnshire",53.1472991,0.1000436
"516","St Swithin",1,"United Kingdom","Lincolnshire",NA,NA
"517","St Swithin’s parish, Lincoln.",1,"United Kingdom","Lincolnshire",NA,NA
"518","Stainton",1,"United Kingdom","Lincolnshire",53.2860044,-0.4076008
"519","Stainton ?by Langworth",1,"United Kingdom","Lincolnshire",53.2860044,-0.4076008
"520","Stainton by Langworth",1,"United Kingdom","Lincolnshire",53.2860044,-0.4076008
"521","Stallingborough",1,"United Kingdom","Lincolnshire",53.5871929,-0.1855069
"522","Stapleford",1,"United Kingdom","Lincolnshire",53.10910405,-0.682788601557984
"523","Stow Park",1,"United Kingdom","Lincolnshire",53.3210068,-0.6998134
"524","Stow St 1 Damages and fees struck through. 2 Damages struck through. 121 Mary",1,"United Kingdom","Lincolnshire",NA,NA
"525","Sturton by Stow St Mary",1,"United Kingdom","Lincolnshire",NA,NA
"526","Sudbrooke",1,"United Kingdom","Lincolnshire",53.2683884,-0.4465052
"527","Swaby",1,"United Kingdom","Lincolnshire",53.27655675,0.0783720861326899
"528","Swallow",1,"United Kingdom","Lincolnshire",53.5102865,-0.2263426
"529","Swinstead",1,"United Kingdom","Lincolnshire",52.7905915,-0.491407
"530","Tailington",1,"United Kingdom","Lincolnshire",NA,NA
"531","Tealby",1,"United Kingdom","Lincolnshire",53.40011065,-0.268916601124557
"532","Temple Bruer",1,"United Kingdom","Lincolnshire",53.0695446,-0.494459
"533","Tetford",1,"United Kingdom","Lincolnshire",53.251946,-0.0066612
"534","the church of St Peter’s at Gowt’s {‘Lincoln’') bridge",1,"United Kingdom","Lincolnshire",NA,NA
"535","the grange of Huberdhayth [in Scopwick]",1,"United Kingdom","Lincolnshire",NA,NA
"536","the Humber river",1,"United Kingdom","Lincolnshire",53.67357325,-0.442710043888241
"537","Thealby",1,"United Kingdom","Lincolnshire",53.6509066,-0.6480958
"538","Thorpe on the Hill",1,"United Kingdom","Lincolnshire",53.1793764,-0.6428738
"539","Thurlby",1,"United Kingdom","Lincolnshire",52.7387005,-0.3766037
"540","Thurlby [near Lincoln]",1,"United Kingdom","Lincolnshire",NA,NA
"541","Timberland",1,"United Kingdom","Lincolnshire",53.1115743,-0.327652
"542","Uffington",1,"United Kingdom","Lincolnshire",52.6574316,-0.4313242
"543","Ulceby [near Barton upon Humber] by Croxton",1,"United Kingdom","Lincolnshire",NA,NA
"544","Utterby",1,"United Kingdom","Lincolnshire",53.4212266,-0.0331194
"545","Valence",1,"United Kingdom","Lincolnshire",NA,NA
"546","Walesby",1,"United Kingdom","Lincolnshire",53.4162893,-0.2950299
"547","Walmsgate",1,"United Kingdom","Lincolnshire",53.2831293,0.0449961
"548","Waltham",1,"United Kingdom","Lincolnshire",53.515849,-0.0963777
"549","Welbourn",1,"United Kingdom","Lincolnshire",53.0742097,-0.558824400302107
"550","Welton le Marsh",1,"United Kingdom","Lincolnshire",53.1958774,0.2024433
"551","Welton le Wold",1,"United Kingdom","Lincolnshire",53.3681419,-0.0875199
"552","West Barkwith",1,"United Kingdom","Lincolnshire",53.3089438,-0.2612168
"553","West Rasen",1,"United Kingdom","Lincolnshire",53.3899466,-0.4031836
"554","West Wykeham",1,"United Kingdom","Lincolnshire",52.8191946,-0.1096407
"555","Westborough",1,"United Kingdom","Lincolnshire",52.9926368,-0.7333743
"556","Westfen",1,"United Kingdom","Lincolnshire",NA,NA
"557","Weston",1,"United Kingdom","Lincolnshire",52.8056758,-0.0865961
"558","Whitton by Burton on Stathe",1,"United Kingdom","Lincolnshire",NA,NA
"559","Wickenby",1,"United Kingdom","Lincolnshire",53.3234976,-0.3678494
"560","Willoughby",1,"United Kingdom","Lincolnshire",53.2246381,0.2007866
"561","Woltoftishill",1,"United Kingdom","Lincolnshire",NA,NA
"562","Wyham",1,"United Kingdom","Lincolnshire",53.4375684,-0.0781559
"563","Wymondham",1,"United Kingdom","Lincolnshire",NA,NA
"564","Wytham",1,"United Kingdom","Lincolnshire",NA,NA
"565","Yarburgh",1,"United Kingdom","Lincolnshire",53.4170967,0.0306739
"566","Yarmouth",1,"United Kingdom","Lincolnshire",NA,NA
"567","York",1,"United Kingdom","Lincolnshire",53.0784049,-0.1396847
